windowId,featureUs,normalizeUs,inferenceUs,xaiUs,roomUs,alertUs,totalUs,isWarmup
1782214623899,1527,176,1915,2159,13910,92750,112439,0
1782214490566,5201,541,6593,4439,16747,102927,136451,0
1782214430566,2761,373,6317,5950,27885,113756,157045,0
1782214370566,4599,538,5540,5617,41130,104451,161878,0
1782214310566,6077,421,4568,4130,15696,117531,148425,0
1782214250566,2547,289,3651,4884,11677,100943,123995,0
1782214190566,1860,327,3229,3637,14506,98262,121824,0
1782214130566,3258,484,5168,4771,21259,101913,136856,0
1782214070566,3225,430,4165,4242,22517,95848,130430,0
1782214010566,4182,525,5845,5367,26735,97243,139898,0
1782213950566,4532,530,5567,4877,21735,110656,147898,0
1782213890566,3030,377,4781,4342,19267,104142,135941,0
1782213830566,3532,425,7850,5153,13631,114923,145517,0
1782213770566,2671,333,4801,3442,9627,107741,128618,0
1782213710566,3878,358,4746,4183,21220,96866,131254,0
1782213650566,4727,433,5058,4659,24904,98401,138184,0
1782213590566,3657,365,8528,4465,11284,105934,134236,0
1782213530566,3006,362,4891,4351,30070,105442,148124,0
1782213470566,2743,316,6259,4681,13538,103089,130628,0
1782213410566,3646,428,5099,4682,20853,125726,160436,0
1782213350566,4340,555,16433,6171,19037,88556,135095,0
1782213290566,3712,441,5017,4143,10242,109870,133427,0
1782213230566,3410,347,4401,4441,19782,121806,154190,0
1782213170566,3691,523,7441,5358,24154,126809,167979,0
1782213110566,4418,524,5543,5250,21354,100760,137852,0
1782213050566,3683,441,4634,5257,25776,112747,152540,0
1782212990566,2360,969,4680,4192,19381,104822,136407,0
1782212930566,4846,434,4124,4316,30167,94817,138705,0
1782212870566,5003,617,5616,5568,20529,106919,144255,0
1782212810566,2722,349,7410,5716,19409,99789,135397,0
1782212750566,4672,613,6481,5504,17395,113123,147790,0
1782212690566,4834,521,7317,5920,23212,111983,153788,0
1782212630566,3321,351,4733,4445,19058,111666,143577,0
1782212570566,5835,531,5509,5574,17633,113802,148885,0
1782212510566,4160,350,4458,4400,19069,95554,127994,0
1782212450566,2881,352,4759,6283,15666,113679,143624,0
1782212390566,4694,544,5673,5526,23308,109953,149701,0
1782212330566,4737,523,5292,5748,25612,128126,170040,0
1782212270566,3555,502,5073,4442,23208,94215,130997,0
1782212210566,3336,383,3853,3902,17324,116604,145403,0
1782212150566,3123,366,5731,3940,15293,113628,142084,0
1782212090566,3054,176,1764,2302,6795,90367,104461,0
1782212030566,7810,543,4879,4495,11564,101896,131190,0
1782211970566,3111,382,5573,4506,13773,114943,142291,0
1782211910566,4355,586,6156,5543,44973,77895,139510,0
1782211850566,4130,434,5100,5300,30435,94260,139662,0
1782211790566,3016,325,23775,3453,14726,85485,130783,0
1782211730566,3367,351,4187,4564,25483,103101,141055,0
1782211670566,3956,420,5536,4607,23397,118125,156044,0
1782211610566,3734,353,4895,4320,21343,112557,147204,0
1782211550566,5235,540,5380,5863,28542,114750,160312,0
1782211490566,5233,359,4204,4765,22371,110072,147007,0
1782211430566,4421,421,5111,5578,21121,112360,149014,0
1782211370566,4884,360,4163,4300,22603,109650,145963,0
1782211310566,4466,605,9259,5842,19591,107225,146991,0
1782211250566,3301,349,4647,4905,18835,111649,143688,0
1782211190566,3805,479,6563,4887,20437,103148,139321,0
1782211130566,13172,1275,7836,5879,22968,123595,174727,0
1782211070566,6830,537,4548,4628,26215,103439,146199,0
1782211010566,4295,182,2734,2797,14492,117916,142418,0
1782210950566,5653,4848,7165,10059,19221,107539,154488,0
1782210890566,3936,421,6448,4207,16778,86537,118329,0
1782210830566,4089,352,4563,4228,19656,99591,132482,0
1782210770566,2095,206,2620,2896,14318,91564,113702,0
1782210710566,5186,524,6550,5497,22290,103050,143100,0
1782210650566,4311,522,7564,5522,20747,107372,146039,0
1782210590566,4599,556,8458,5368,29213,105480,153676,0
1782210530566,3632,381,4356,5308,24485,88387,126551,0
1782210470566,3450,439,6141,5137,20395,104282,139847,0
1782210410566,7448,337,3507,4300,18616,99963,134174,0
1782210350566,7700,523,6035,5358,25438,114464,159521,0
1782210290566,3431,321,4203,4704,21576,102384,136621,0
1782210230566,4652,421,5414,4977,20155,117134,152755,0
1782210170566,5096,582,6086,5654,12009,112567,141996,0
1782210110566,3531,348,5843,6227,22450,122244,160645,0
1782210050566,5261,593,11330,5887,20289,112541,155904,0
1782209990566,5334,581,5616,4405,22622,123899,162460,0
1782209930566,6599,433,5306,4961,26483,97994,141778,0
1782209870566,5309,573,5473,5461,17412,116991,151222,0
1782209810566,4163,425,5314,4796,17284,116922,148906,0
1782209750566,4495,441,4954,4834,24308,149206,188242,0
1782209690566,4965,692,6050,6977,20984,131053,170723,0
1782209630566,3556,527,8709,3898,12266,105733,134692,0
1782209570566,4532,321,3823,3752,17502,102464,132397,0
1782209510566,4655,437,4610,5116,25217,92429,132466,0
1782209450566,3172,315,4313,6733,25675,104400,144610,0
1782209390566,3250,319,4327,4428,17448,126112,155887,0
1782209330566,3712,363,4790,5659,23145,94986,132657,0
1782209270566,3194,285,4079,4010,20521,97948,130040,0
1782209210566,3347,354,4694,4357,19091,106182,138028,0
1782209150566,5074,353,5134,4235,24110,88558,127467,0
1782209090566,3790,350,5475,4742,19453,110536,144349,0
1782209030566,3276,314,4338,4376,33275,103703,149284,0
1782208970566,3087,285,3694,4111,15896,92035,119110,0
1782208910566,4656,575,7175,5533,25610,105982,149533,0
1782208850566,3700,351,3730,6105,21435,112004,147328,0
1782208790566,3665,588,5359,4929,24777,115014,154334,0
1782208730566,4297,425,5749,8724,21804,119837,160838,0
1782208670566,3903,351,3685,4818,22372,102009,137141,0
1782208610566,7792,525,6501,4750,17614,113091,150275,0
1782208550566,6141,353,4686,4296,12353,102753,130586,1
1782208490566,9643,428,11930,4574,20979,96959,144516,1
1782208430566,7706,288,3559,3707,18876,99622,133760,1
1782208370566,12355,525,6579,5779,18388,118340,161969,1
1782208310566,10270,318,5476,4475,15731,102623,138895,1
1782208250566,17632,386,6092,4617,17004,99932,145665,1
1782208190566,11490,286,5552,4797,17794,103700,143622,1
1782208130566,11263,352,4630,6750,15871,97480,136348,1
1782208070566,14993,359,4677,4868,27169,120064,172133,1
1782208010566,7929,182,3164,2176,8964,110644,133061,1
