windowId,featureUs,normalizeUs,inferenceUs,xaiUs,roomUs,alertUs,totalUs,isWarmup
1782214682660,2899,20,5149,3357,17478,99837,128743,0
1782214622660,10480,63,11276,12622,27210,179816,241471,0
1782214562660,3588,21,7266,4856,19772,103740,139247,0
1782214502660,1675,9,2166,1858,13107,76573,95392,0
1782214442660,2229,17,8103,2168,14833,74657,102008,0
1782214382660,1387,9,2009,1978,13557,106354,125298,0
1782214322660,1367,8,2348,3749,15194,81471,104139,0
1782214262660,3829,32,5536,7585,19058,89470,125513,0
1782214202660,1491,11,2499,2457,15613,97877,119950,0
1782214142660,3339,34,7667,5495,16684,99006,132227,0
1782214082660,7664,21,4399,4690,22985,92504,132265,0
1782214022660,3580,30,5196,8424,15905,108143,141281,0
1782213962660,3963,22,5282,4741,17350,114379,145739,0
1782213902660,3220,21,4043,4379,18522,108175,138363,0
1782213842660,1362,9,2481,2554,14639,85323,106370,0
1782213782660,4432,25,5718,5601,26648,113218,155644,0
1782213722660,2456,15,4021,4815,20480,119742,151532,0
1782213662660,5083,20,4495,4935,16637,105463,136635,0
1782213602660,2980,24,5206,10404,26909,99001,144527,0
1782213542660,2739,23,5180,4117,22391,112397,146849,0
1782213482660,4090,25,6828,5210,33628,107535,157318,0
1782213422660,3723,22,5130,3861,13556,113801,140097,0
1782213362660,5609,34,5354,5292,26170,93001,135463,0
1782213302660,3278,29,5835,4991,26154,99809,140098,0
1782213242660,1988,11,2267,2183,7931,107306,121689,0
1782213182660,1407,13,2442,2564,19951,85311,111692,0
1782213122660,1375,10,4348,2989,7080,85639,101442,0
1782213062660,2575,14,2849,2886,12819,76005,97149,0
1782213002660,1329,19,2480,2550,11781,78028,96190,0
1782212942660,1372,10,2579,2376,10268,89480,106087,0
1782212882660,1310,7,2122,1871,12664,79059,97036,0
1782212822660,3344,36,8248,5297,19588,112544,149060,0
1782212762660,3128,28,6319,4856,35773,107730,157837,0
1782212702660,3336,21,10719,4725,29867,99797,148467,0
1782212642660,3982,32,5674,7668,12527,97315,127199,0
1782212582660,1353,11,4020,10725,18783,88236,123131,0
1782212522660,3079,12,2306,3017,18026,90817,117260,0
1782212462660,2527,17,4461,3924,22089,106383,139403,0
1782212402660,14031,109,11855,11925,19168,114142,171233,0
1782212342660,2906,23,5853,4956,23767,106354,143862,0
1782212282660,3380,24,6933,19038,20678,116670,166724,0
1782212222660,4937,21,5079,4640,26995,105179,146854,0
1782212162660,3736,23,5537,5153,26723,95843,137016,0
1782212102660,3778,33,7443,6376,23009,108403,149045,0
1782212042660,4032,25,5903,4875,15864,115888,146590,0
1782211982660,2869,337,5093,6761,23688,113474,152225,0
1782211922660,2558,255,3799,4744,46176,105251,162785,0
1782211862660,5147,271,3851,4272,18921,105403,137868,0
1782211802660,3354,406,4634,4128,10578,126833,149936,0
1782211742660,2730,257,5334,4284,12283,100028,124919,0
1782211682660,2321,245,4957,4637,26247,110637,149047,0
1782211622660,2808,304,3920,4369,13058,106250,130711,0
1782211562660,3709,239,3830,4213,25252,101051,138297,0
1782211502660,3475,383,8324,3960,20458,85731,122334,0
1782211442660,2611,230,3747,8088,20152,125654,160484,0
1782211382660,3215,310,9270,4451,15351,107482,140081,0
1782211322660,3139,313,4930,4630,12489,112900,138404,0
1782211262660,5650,195,3148,3236,17301,117321,146855,0
1782211202660,3130,234,4069,3913,9678,113972,134998,0
1782211142660,3915,135,1827,2047,14904,81449,104280,0
1782211082660,3070,250,4403,4390,19785,105959,137860,0
1782211022660,4972,384,8014,5560,24263,119572,162768,0
1782210962660,2758,257,5054,4254,9957,122886,145168,0
1782210902660,3690,391,4760,5423,23156,117287,154709,0
1782210842660,2686,287,4783,4495,10737,104436,127427,0
1782210782660,2970,314,4984,4356,18806,107201,138633,0
1782210722660,3252,377,5281,5661,32740,107496,154810,0
1782210662660,2723,257,4625,4377,21556,118584,152125,0
1782210602660,3757,394,5369,5197,28771,104812,148303,0
1782210542660,2361,261,4244,4362,20736,105818,137786,0
1782210482660,3336,308,4518,3748,14747,112180,138840,0
1782210422660,3430,320,4994,4501,23173,114002,150423,0
1782210362660,3637,311,4526,5345,21340,109776,144937,0
1782210302660,3036,255,4882,4361,24532,126431,163500,0
1782210242660,2668,255,4083,3486,17006,115547,143047,0
1782210182660,3471,390,7509,5430,26549,81718,125070,0
1782210122660,3913,394,5298,5115,25135,112519,152376,0
1782210062660,2957,392,5939,5852,21410,113917,150470,0
1782210002660,4202,446,7246,5255,21017,112126,150293,0
1782209942660,1364,133,4095,4246,18100,106936,134877,0
1782209882660,2974,314,4867,4661,20945,118208,151971,0
1782209822660,3901,377,5475,4913,19099,119707,153474,0
1782209762660,3105,323,6174,5378,24998,113029,153010,0
1782209702660,3677,395,5600,5052,22473,109565,146764,0
1782209642660,6972,449,5527,4179,16374,109470,142973,0
1782209582660,2645,353,5306,3886,19338,100377,131908,0
1782209522660,4423,185,2291,2174,11228,72925,93229,0
1782209462660,1358,178,2141,2327,12114,70770,88891,0
1782209402660,3428,183,2167,2174,8030,87614,103598,0
1782209342660,1465,206,2169,1823,7964,80931,94560,0
1782209282660,3861,569,5882,5418,28694,108570,152996,0
1782209222660,1346,178,5196,2204,12118,92793,113838,0
1782209162660,3905,522,13649,3766,14085,88133,124063,0
1782209102660,2892,413,8899,3504,16355,86610,118675,0
1782209042660,3814,519,5337,4880,27014,112445,154011,0
1782208982660,3141,656,5161,4991,33602,112701,160254,0
1782208922660,3321,423,5370,7778,19660,107586,144140,0
1782208862660,3390,427,4458,3741,17025,119883,148926,0
1782208802660,2784,524,4941,3778,11815,105765,129611,0
1782208742660,4861,525,5903,4851,27190,99448,142781,0
1782208682660,3733,581,6482,5154,33007,110441,159401,1
1782208622660,8764,1132,8548,6607,33457,106662,165173,1
1782208562660,3074,374,4358,4864,19643,109136,141450,1
1782208502660,1665,190,2687,5210,14734,93773,118261,1
1782208442660,2394,304,7304,4359,19833,93802,127997,1
1782208382660,3752,872,4799,4653,21568,99209,134856,1
1782208322660,3484,550,5120,5807,29846,113549,158359,1
1782208262660,4998,546,10655,4076,26322,78481,125081,1
1782208202660,10388,867,5462,6300,23318,113526,159865,1
1782208142660,1563,198,50504,84985,27492,123168,287913,1
