subject,model,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,fit_seconds,desktop_latency_ms,parameter_count,artifact_bytes
S2,Logistic Regression,110,0.5,0.6636363636363637,0.5,0.3989071038251366,0.0,0.0,0.0,1.0,0.9999999999999998,0.3178153922165611,3.529036236603639,0.32555618411217374,0.01575120002962649,0.16777999699115753,277.0,2929
S2,Random Forest,110,0.5,0.6636363636363637,0.5,0.3989071038251366,0.0,0.0,0.0,0.5396149574231767,0.40615835777126097,0.31965090909090904,8.49970978811775,0.31781818181818183,0.06997990002855659,2.8829399961978197,,27390
S2,MLP,110,0.5,0.7363636363636363,0.6081081081081081,0.594920634920635,1.0,0.21621621621621623,0.35555555555555557,1.0,0.9999999999999998,0.1801395599386814,0.5739981928970842,0.22773839853205918,5.301245599985123,7.876399997621775,19874.0,79496
S2,1D-CNN,110,0.5,0.36363636363636365,0.34061458718992965,0.3418803418803419,0.18867924528301888,0.2702702702702703,0.2222222222222222,0.27212143650499815,0.27679547805077387,0.26150032339493573,0.7162294907788703,0.16618695502931422,2.894180800067261,9.631159994751215,6466.0,25864
S2,LSTM,110,0.5,0.7272727272727273,0.5945945945945946,0.5738636363636364,1.0,0.1891891891891892,0.3181818181818182,0.990373935579415,0.9838133184380358,0.15965486816514207,0.4985291111341051,0.27650239237330176,12.841468899976462,62.84391998779029,36066.0,144264
S3,Logistic Regression,111,0.5,0.35135135135135137,0.5,0.26,0.35135135135135137,1.0,0.52,0.9903846153846154,0.9855945912668603,0.6418620556561891,4.459584482212228,0.6452090601509339,0.010718200006522238,0.09381999261677265,277.0,2929
S3,Random Forest,111,0.5,0.35135135135135137,0.5,0.26,0.35135135135135137,1.0,0.52,0.8247863247863247,0.6378655578655579,0.5354810810810812,6.270922334329987,0.5827027027027029,0.055392100010067225,3.12111999373883,,16779
S3,MLP,111,0.5,0.35135135135135137,0.4941239316239316,0.2702702702702703,0.3486238532110092,0.9743589743589743,0.5135135135135135,0.5794159544159544,0.43196772543451223,0.5130113588232792,1.7051286777116001,0.5421949211541598,1.6399254000280052,3.210059995763004,19874.0,79496
S3,1D-CNN,111,0.5,0.34234234234234234,0.48717948717948717,0.2550335570469799,0.34545454545454546,0.9743589743589743,0.5100671140939598,0.558048433048433,0.44547345521600806,0.3128301529347478,0.8272743150962942,0.30499864349494105,1.7173875999869779,4.578820010647178,6466.0,25864
S3,LSTM,111,0.5,0.38738738738738737,0.5277777777777778,0.3197548666186013,0.3644859813084112,1.0,0.5342465753424658,0.7938034188034189,0.6954408616082127,0.2983215884766131,0.7937330447243526,0.30878621366646913,10.909942299942486,127.92730000801384,36066.0,144264
S4,Logistic Regression,113,0.5,0.34513274336283184,0.5,0.2565789473684211,0.34513274336283184,1.0,0.5131578947368421,1.0,1.0,0.648871951532264,3.7578574040023707,0.651854636556938,0.010056100087240338,0.0725999940186739,277.0,2929
S4,Random Forest,113,0.5,0.34513274336283184,0.5,0.2565789473684211,0.34513274336283184,1.0,0.5131578947368421,1.0,1.0,0.5447221238938054,1.6001941863468006,0.5971681415929204,0.08060180000029504,2.997720008715987,,18238
S4,MLP,113,0.5,0.34513274336283184,0.5,0.2565789473684211,0.34513274336283184,1.0,0.5131578947368421,0.8142758142758143,0.733620766826219,0.5813772325651743,2.1483379601081793,0.6095327175823988,3.1427781999809667,8.917719987221062,19874.0,79496
S4,1D-CNN,113,0.5,0.34513274336283184,0.5,0.2565789473684211,0.34513274336283184,1.0,0.5131578947368421,0.9993069993069994,0.9987492182614135,0.26131562515844875,0.7076244172174143,0.43669959876389625,3.092011300032027,9.878959995694458,6466.0,25864
S4,LSTM,113,0.5,0.34513274336283184,0.5,0.2565789473684211,0.34513274336283184,1.0,0.5131578947368421,0.9459459459459458,0.8643643076112528,0.24976964702372498,0.692123054879363,0.3475982198673013,13.229198900051415,96.91693999338895,36066.0,144264
