n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece
334,0.05,0.344311377245509,0.5,0.2561247216035635,0.344311377245509,1.0,0.512249443207127,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.1,0.344311377245509,0.5,0.2561247216035635,0.344311377245509,1.0,0.512249443207127,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.15,0.344311377245509,0.5,0.2561247216035635,0.344311377245509,1.0,0.512249443207127,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.2,0.344311377245509,0.5,0.2561247216035635,0.344311377245509,1.0,0.512249443207127,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.25,0.3532934131736527,0.5068493150684932,0.27136104714580056,0.3474320241691843,1.0,0.515695067264574,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.3,0.5179640718562875,0.6303553702600755,0.5045286600141895,0.41605839416058393,0.991304347826087,0.5861182519280206,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.35,0.5479041916167665,0.6531864204883859,0.5395458819877478,0.4318181818181818,0.991304347826087,0.6015831134564644,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.4,0.5299401197604791,0.618840579710145,0.525855599258556,0.416,0.9043478260869565,0.5698630136986301,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.45,0.49101796407185627,0.5623188405797102,0.4895353855005754,0.38396624472573837,0.7913043478260869,0.5170454545454546,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.5,0.48502994011976047,0.5453643041492952,0.4847343307143113,0.3744493392070485,0.7391304347826086,0.49707602339181284,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.55,0.6227544910179641,0.6400635298788961,0.6147988137516933,0.4678362573099415,0.6956521739130435,0.5594405594405595,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.6,0.6796407185628742,0.6504069882866785,0.6487838435457718,0.5333333333333333,0.5565217391304348,0.5446808510638298,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.65,0.6616766467065869,0.5788961683541791,0.5776173689217168,0.5142857142857142,0.3130434782608696,0.3891891891891892,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.7,0.6676646706586826,0.552491562437959,0.5294879116695221,0.5526315789473685,0.1826086956521739,0.27450980392156865,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.75,0.6676646706586826,0.5173913043478261,0.43252054920328786,1.0,0.034782608695652174,0.06722689075630252,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.8,0.655688622754491,0.5,0.3960216998191682,0.0,0.0,0.0,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.85,0.655688622754491,0.5,0.3960216998191682,0.0,0.0,0.0,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.9,0.655688622754491,0.5,0.3960216998191682,0.0,0.0,0.0,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
334,0.95,0.655688622754491,0.5,0.3960216998191682,0.0,0.0,0.0,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253
