masked_modality,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std,accuracy_drop
EDA,334,0.5,0.46407185628742514,0.5231884057971015,0.46368244000897063,0.35964912280701755,0.7130434782608696,0.478134110787172,0.5905102243398849,0.45434366462782605,0.27061185308119945,0.7369747077462389,0.2652457051291437,0.46549469823806106,0.16583972219620613,0.34065371734281885,0.11648900320242195,0.020958083832335328
HRV/BVP,334,0.5,0.47005988023952094,0.5256898947786381,0.46994109261102296,0.36160714285714285,0.7043478260869566,0.4778761061946903,0.6963668850506254,0.5688581497528405,0.23677828634307607,0.6634043724714522,0.25784989067180425,0.47147340421676703,0.1557569335160729,0.34748020845765204,0.09617820405113786,0.014970059880239528
Movement,334,0.5,0.4880239520958084,0.5476474091721262,0.4877989722618311,0.37610619469026546,0.7391304347826086,0.49853372434017595,0.7068890212428032,0.6025360329989531,0.2325065058570528,0.6538453706325232,0.24295055736860116,0.4895474718483568,0.1686494347277717,0.3884099940036451,0.1326002426860489,-0.002994011976047928
None,334,0.5,0.48502994011976047,0.5453643041492952,0.4847343307143113,0.3744493392070485,0.7391304347826086,0.49707602339181284,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253,0.4865976193409822,0.17105504848611036,0.38339915011688624,0.13712607236701357,0.0
Temperature,334,0.5,0.7754491017964071,0.7544371649791543,0.7528488974396922,0.6694915254237288,0.6869565217391305,0.6781115879828327,0.8125471510819933,0.6861294253565241,0.21237504859616793,0.615960537048754,0.21534803661400687,0.7752113336184133,0.06468330730847895,0.7502030366456268,0.07226781242032862,-0.29041916167664666
