subject,feedback_budget,evaluation_windows,accuracy_before,accuracy_after,accuracy_delta,macro_f1_before,macro_f1_after,macro_f1_delta,brier_before,brier_after
S2,4,97,0.7422680412371134,0.7422680412371134,0.0,0.5988420181968569,0.5988420181968569,0.0,0.15378914487867346,0.15370528572493447
S3,4,98,0.3877551020408163,0.3877551020408163,0.0,0.3244485294117647,0.3244485294117647,0.0,0.29585177264225854,0.2950929813366897
S4,4,100,0.34,0.34,0.0,0.2537313432835821,0.2537313432835821,0.0,0.25021827965119514,0.24998006360034442
