model,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std,fit_seconds_total,desktop_latency_ms_median,artifact_kb_median,parameter_count_median
LSTM,334,0.5,0.48502994011976047,0.5453643041492952,0.4847343307143113,0.3744493392070485,0.7391304347826086,0.49707602339181284,0.6880682946198133,0.5451350596505796,0.23622665249326533,0.6621331598518645,0.23741357363091253,0.4865976193409822,0.17105504848611036,0.38339915011688624,0.13712607236701357,36.98061009997036,96.91693999338895,140.8828125,36066.0
MLP,334,0.5,0.47604790419161674,0.5385149890808021,0.47547897877686546,0.3695652173913043,0.7391304347826086,0.4927536231884058,0.6428826682549136,0.5132805654125133,0.42651269372007083,1.4825487243619493,0.44780530747598307,0.47761591035927314,0.18297988424168463,0.3739232841864421,0.15636865596904764,10.083949199994095,7.876399997621775,77.6328125,19874.0
Logistic Regression,334,0.5,0.45209580838323354,0.5057971014492754,0.4519729940554644,0.3482142857142857,0.6782608695652174,0.46017699115044247,0.7842763549731984,0.8031727234283912,0.5375117121101933,3.9157058389348074,0.5421825145509783,0.453373486116849,0.1486999798664379,0.30516201706451923,0.0663024980378757,0.036525500123389065,0.09381999261677265,2.8603515625,277.0
Random Forest,334,0.5,0.45209580838323354,0.5057971014492754,0.4519729940554644,0.3482142857142857,0.6782608695652174,0.46017699115044247,0.6910065515187611,0.6475391223207392,0.46752574850299405,5.42473772114003,0.5003592814371258,0.453373486116849,0.1486999798664379,0.30516201706451923,0.0663024980378757,0.20597380003891885,2.997720008715987,17.810546875,
1D-CNN,334,0.5,0.3502994011976048,0.4467540202501489,0.3308096429593655,0.31521739130434784,0.7565217391304347,0.44501278772378516,0.6130236251737146,0.5825853615610503,0.2784965514733672,0.7502223116974017,0.26778033572042775,0.35037048311384594,0.009449312990620823,0.28449761543191426,0.040580619584580896,7.703579700086266,9.631159994751215,25.2578125,6466.0
