method,round,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece
Untrained initialization,0,113,0.5,0.6106194690265486,0.545045045045045,0.5446886446886448,0.41935483870967744,0.3333333333333333,0.37142857142857144,0.505890505890506,0.4492216098162635,0.2435483891860063,0.6802334807787667,0.1340925419225102
Centralized,1,113,0.5,0.9203539823008849,0.9331254331254331,0.9151439299123905,0.8260869565217391,0.9743589743589743,0.8941176470588236,0.9847539847539848,0.9714645227794977,0.20380068126526416,0.6000285962712524,0.3655751426663019
Sample-weighted FedAvg,1,113,0.5,0.911504424778761,0.9142411642411643,0.9043021680216803,0.8372093023255814,0.9230769230769231,0.8780487804878049,0.9722799722799723,0.9493637915348246,0.20807278829921688,0.6088013262225274,0.3631910750296263
