run_type,load_ms,restore_ms,train_ms,save_ms,upload_ms,local_wall_ms,estimated_end_to_end_ms
Cold,134.89,23.45,98.41,0.198,125.32,257.746,383.066
Warm mean,37.592999999999996,6.919333333333333,77.79199999999999,0.08166666666666667,38.666333333333334,122.894,161.56033333333335
