subject,model,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,fit_seconds,desktop_latency_ms,parameter_count,artifact_bytes
S2,Logistic Regression,110,0.5,0.9,0.9046649389115142,0.8913726546368614,0.8095238095238095,0.918918918918919,0.8607594936708861,0.9766753054424288,0.9576546750929071,0.0748662756398634,0.308340164947537,0.08962109211266162,0.07287220004945993,0.1046449993737042,277,2929
S2,Random Forest,110,0.5,0.990909090909091,0.9864864864864865,0.9897493243872891,1.0,0.972972972972973,0.9863013698630136,1.0,1.0,0.00875939393939394,0.05066753001846542,0.04436363636363638,10.568560399929993,39.34439999866299,52164,4266795
S2,MLP,110,0.5,0.9818181818181818,0.972972972972973,0.9793543543543544,1.0,0.9459459459459459,0.9722222222222222,0.9985190670122177,0.9972425127830531,0.018434045339740152,0.07979468799282086,0.03917555165824069,9.056952600018121,9.351229999447241,19874,79496
S2,1D-CNN,110,0.5,0.9636363636363636,0.9459459459459459,0.9580952380952381,1.0,0.8918918918918919,0.9428571428571428,0.9988893002591632,0.997883538424079,0.030862350014080026,0.13987192966351722,0.051428727261796064,6.430430999957025,6.7359649983700365,6466,25864
S2,LSTM,110,0.5,0.9818181818181818,0.972972972972973,0.9793543543543544,1.0,0.9459459459459459,0.9722222222222222,0.9981488337652721,0.9967824967824965,0.016192533076644297,0.07011232917338411,0.019982997939752584,17.062459900043905,92.79264000360854,36066,144264
S3,Logistic Regression,111,0.5,0.9369369369369369,0.9220085470085471,0.9295238095238094,0.9444444444444444,0.8717948717948718,0.9066666666666666,0.985042735042735,0.9712405377911099,0.05440781647536013,0.2876396239686348,0.05746049234729623,0.04851190000772476,0.051725003868341446,277,2929
S3,Random Forest,111,0.5,0.7207207207207207,0.7788461538461539,0.7203575782202356,0.5588235294117647,0.9743589743589743,0.7102803738317757,0.9025997150997151,0.7672382993150879,0.17201731731731734,0.5369013226085466,0.19570570570570572,5.6974803999764845,15.560050000203773,48888,4004697
S3,MLP,111,0.5,0.9099099099099099,0.9305555555555556,0.9058683853459972,0.7959183673469388,1.0,0.8863636363636364,0.9878917378917379,0.9785423169094728,0.06474478672329936,0.2111627025498091,0.0839804702867307,3.421055300044827,4.018250002991408,19874,79496
S3,1D-CNN,111,0.5,0.9009009009009009,0.9118589743589743,0.895148132245599,0.8043478260869565,0.9487179487179487,0.8705882352941177,0.983974358974359,0.9736705987768206,0.06574629559511298,0.21504432002435922,0.08238815524204224,3.643930900027044,5.552355002146214,6466,25864
S3,LSTM,111,0.5,0.9459459459459459,0.9583333333333333,0.9425465838509317,0.8666666666666667,1.0,0.9285714285714286,0.9910968660968661,0.9826072859728118,0.048403464273764046,0.18638446676771747,0.07641830258407033,11.407916500000283,61.26786000095308,36066,144264
S4,Logistic Regression,113,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.2325258025543156e-06,0.0003690657969345626,0.00036590942260602817,0.0778635999886319,0.056065001990646124,277,2929
S4,Random Forest,113,0.5,0.37168141592920356,0.5202702702702703,0.300706005403992,0.35454545454545455,1.0,0.5234899328859061,0.9963617463617463,0.9936787549889454,0.3312032448377582,0.8460445603945062,0.46233038348082595,5.603659700020216,21.479990001535043,47112,3862588
S4,MLP,113,0.5,0.9911504424778761,0.9932432432432432,0.9902695255317318,0.975,1.0,0.9873417721518988,1.0,1.0000000000000002,0.01132143963681552,0.03692921942667169,0.021018621543903576,5.056563700083643,4.774789995281026,19874,79496
S4,1D-CNN,113,0.5,0.9823008849557522,0.9864864864864865,0.9806506849315069,0.9512195121951219,1.0,0.975,1.0,1.0,0.006674746187509616,0.030278242473324387,0.025340941104114844,6.040215100045316,8.294095000019297,6466,25864
