feedback_budget,subjects,accuracy_before,accuracy_after,accuracy_delta_mean,accuracy_delta_std,macro_f1_before,macro_f1_after,macro_f1_delta_mean,macro_f1_delta_std,brier_before,brier_after
4,15,0.9425797112416732,0.945736677731973,0.003156966490299825,0.009955201390837703,0.9374108933308012,0.9407289959649643,0.003318102634163115,0.010003614639585837,0.04674982771103238,0.04564620649191253
8,15,0.942273746146395,0.946215101820424,0.003941355674028942,0.012845737137779761,0.9366763713113695,0.9408151804587993,0.004138809147429841,0.01295972913972169,0.04712609426869452,0.04632655610281456
16,15,0.9387088747225657,0.9423051557372638,0.003596281014698118,0.012021107166089864,0.9313200063646595,0.93510614189569,0.0037861355310306135,0.012593340651989929,0.0503818979337587,0.04927179177414211
