masked_modality,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std,accuracy_drop
EDA,1738,0.5,0.8843498273878021,0.8710515028921836,0.8728345919264392,0.8435940099833611,0.8257328990228013,0.8345679012345679,0.9375717249933345,0.8982512093547292,0.09019010829472623,0.3740257480398768,0.05990378047606377,0.8845217763311403,0.11690230571189898,0.8679800514494213,0.12956645023906033,0.053509781357882646
HRV/BVP,1738,0.5,0.9154200230149597,0.9054186421227121,0.9070690669259418,0.8872305140961857,0.8713355048859935,0.8792111750205424,0.9516385176255114,0.9238103601841503,0.07176421246054626,0.3069893654789791,0.0505373617243125,0.9160720971924923,0.09568556523728859,0.907083887141034,0.10075906922084005,0.02243958573072502
Movement,1738,0.5,0.9177215189873418,0.9083064787230343,0.909666144849512,0.8892561983471075,0.8762214983713354,0.8826907301066448,0.9454730661782605,0.9197715294840894,0.06703567402819342,0.317370227457422,0.050189407988173444,0.9185616018688846,0.07062879384755855,0.9090679677899077,0.08001641261674144,0.02013808975834297
None,1738,0.5,0.9378596087456847,0.934221660658189,0.932301344566911,0.9041533546325878,0.9218241042345277,0.9129032258064517,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642,0.9385667968046306,0.05987372357554731,0.9333930981157741,0.06309087025481397,0.0
Temperature,1738,0.5,0.9073647871116226,0.9065807319137098,0.9001561075518589,0.8447488584474886,0.9039087947882736,0.8733280881195908,0.9540742694193608,0.8932035737426424,0.07584078759748955,0.3455137402882455,0.06051984977158406,0.9073067573504834,0.05785574284004029,0.9005074355124322,0.05898120841491037,0.03049482163406214
