model,n_windows,mean_abs_delta,max_abs_delta,p95_abs_delta,classification_agreement
TFLite float32,400,3.852e-10,7.823e-08,7.276e-11,1.0
TFLite INT8,400,1.971e-05,0.001675,9.135e-06,1.0
