model,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece,subject_accuracy_mean,subject_accuracy_std,subject_macro_f1_mean,subject_macro_f1_std,fit_seconds_total,desktop_latency_ms_median,artifact_kb_median,parameter_count_median
MLP,1738,0.5,0.9418872266973533,0.9406609711708996,0.9369356649511851,0.902668759811617,0.9364820846905537,0.9192645883293366,0.984804444341405,0.9754670406291266,0.04594468978861837,0.18064829145537137,0.02673346345012873,0.9423535755798705,0.04959066866762497,0.9378260184519348,0.051118555804894474,104.30395890004002,5.4379350040107965,77.6328125,19874.0
LSTM,1738,0.5,0.9378596087456847,0.934221660658189,0.932301344566911,0.9041533546325878,0.9218241042345277,0.9129032258064517,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642,0.9385667968046307,0.05987372357554731,0.9333930981157742,0.06309087025481397,334.3813030003803,97.54357499768957,140.8828125,36066.0
1D-CNN,1738,0.5,0.9298043728423475,0.9309498417703177,0.9243166453694649,0.875,0.9348534201954397,0.9039370078740158,0.9771284210648336,0.952883305549151,0.05548924758867245,0.2689325149962953,0.03514980566451614,0.9305213879681032,0.0743627610358604,0.9258716467789808,0.07564969926961575,119.12028859986458,8.362625003792346,25.2578125,6466.0
Logistic Regression,1738,0.5,0.8929804372842347,0.8991546593714862,0.8862757514353259,0.8048433048433048,0.9201954397394136,0.8586626139817629,0.9600136784633753,0.9247500183157997,0.09323375027760275,0.7409901282971523,0.08597084876027558,0.8937896329965087,0.14364361056933392,0.8844554179882225,0.1554218929267251,1.3114841999486089,0.10286999749951065,2.8603515625,277.0
Random Forest,1738,0.5,0.8130034522439585,0.8140438985939004,0.8020406096245027,0.7020979020979021,0.8175895765472313,0.7554552294958615,0.9139792736504109,0.8552500040063383,0.11843324383071219,0.3529760257514817,0.06637897967011892,0.8127601495777523,0.2063451153577854,0.7918858191686191,0.2240684348244728,140.18213289999403,27.038050000555813,3910.8369140625,48888.0
