n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece
1738,0.05,0.8791714614499425,0.899563274485029,0.874421965317919,0.7569974554707379,0.9690553745928339,0.85,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.1,0.9039125431530495,0.916474434024598,0.8987347336800182,0.8057455540355677,0.9592833876221498,0.8758364312267658,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.15,0.9125431530494822,0.9209300775499322,0.9071190797976545,0.828125,0.9495114006514658,0.8846737481031867,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.2,0.9234752589182968,0.9279040652856828,0.9180547603812346,0.8552437223042836,0.9429967426710097,0.8969790859798605,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.25,0.9240506329113924,0.9272404279736168,0.9184886417900266,0.8597014925373134,0.9381107491856677,0.897196261682243,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.3,0.9257767548906789,0.9274664703768533,0.9201069032792581,0.8668683812405447,0.9332247557003257,0.8988235294117647,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.35,0.929228998849252,0.929766017132855,0.9236194901891988,0.8759571209800919,0.9315960912052117,0.9029202841357538,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.4,0.9338319907940161,0.9329552436041592,0.928343592242164,0.8880248833592534,0.9299674267100977,0.9085123309466985,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.45,0.9349827387802071,0.9323669537598387,0.92934356947477,0.8957345971563981,0.9234527687296417,0.909382518043304,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.5,0.9378596087456847,0.934221660658189,0.932301344566911,0.9041533546325878,0.9218241042345277,0.9129032258064517,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.55,0.9390103567318757,0.9340028632037742,0.9333619811560988,0.9110032362459547,0.9169381107491856,0.913961038961039,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.6,0.9418872266973533,0.9358575701021248,0.9363410366367781,0.9198036006546645,0.9153094462540716,0.9175510204081633,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.65,0.9441887226697353,0.9376369295327298,0.9387706997463094,0.9258649093904449,0.9153094462540716,0.9205569205569205,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.7,0.9424626006904487,0.934824440400153,0.9367576851420587,0.9269102990033222,0.9087947882736156,0.9177631578947368,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.75,0.9407364787111623,0.930903474097859,0.934584176090011,0.9323181049069373,0.8973941368078175,0.9145228215767635,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.8,0.9407364787111623,0.9294255045382359,0.934378142225536,0.9382504288164666,0.8908794788273615,0.9139515455304928,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.85,0.9407364787111623,0.9283170273685186,0.9342207328119172,0.9428076256499134,0.8859934853420195,0.9135180520570949,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.9,0.9361334867663982,0.9210633846082512,0.9287642582813516,0.9451327433628318,0.8697068403908795,0.905852417302799,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
1738,0.95,0.9257767548906789,0.9045579422026964,0.9162198368879796,0.9515828677839852,0.8322475570032574,0.8879235447437012,0.9731734035030776,0.9449457831937205,0.05118323794305146,0.2196400039505163,0.03549938133960642
