method,round,n_windows,threshold,accuracy,balanced_accuracy,macro_f1,stress_precision,stress_recall,stress_f1,roc_auc,pr_auc,brier_score,log_loss,ece
Untrained initialization,0,355,0.5,0.37464788732394366,0.3474669603524229,0.3500956590579232,0.20253164556962025,0.25,0.22377622377622378,0.27471090308370044,0.25643643000309313,0.2594352868437716,0.7120993269624725,0.14490973848692132
Centralized,1,355,0.5,0.5690140845070423,0.6595883810572687,0.5602914389799636,0.4548736462093863,0.984375,0.6222222222222222,0.8602698237885463,0.8086870919988118,0.26969348015286637,0.7548840405749332,0.3105816989927224
Sample-weighted FedAvg,1,355,0.5,0.447887323943662,0.48310159691629956,0.44784789233113254,0.3482142857142857,0.609375,0.4431818181818182,0.5272232929515418,0.4381173221728164,0.25187924584740107,0.6968933218470514,0.15130122841244012
Centralized,2,355,0.5,0.8704225352112676,0.8867531662995595,0.8656365192206424,0.75625,0.9453125,0.8402777777777778,0.9662376101321586,0.9539487609093558,0.08987108796180705,0.28327747695617855,0.10781159411958408
Sample-weighted FedAvg,2,355,0.5,0.543661971830986,0.6108032764317181,0.5413875598086124,0.43253968253968256,0.8515625,0.5736842105263158,0.6602767070484582,0.5552605099079109,0.24658467051495261,0.686124825040975,0.19359380846292196
Centralized,3,355,0.5,0.9267605633802817,0.9273988160792952,0.9216095936947954,0.875,0.9296875,0.9015151515151515,0.9792125550660793,0.9694217054812362,0.055758410113973755,0.18343764929225842,0.035132535552920806
Sample-weighted FedAvg,3,355,0.5,0.5661971830985916,0.6454604900881057,0.5614330637915543,0.45075757575757575,0.9296875,0.6071428571428571,0.7285930616740088,0.6211953077337238,0.2446194467312857,0.6818587651258051,0.21621946465801184
