stage,count,mean_ms,median_ms,p95_ms,p99_ms,max_ms
Feature extraction,300,3.7696333333333336,3.5435,6.7188500000000015,12.913609999999997,16.37
Normalization,300,0.23425666666666667,0.178,0.5692,0.6947699999999974,4.848
TFLite inference,300,5.535266666666667,5.154999999999999,9.25955,15.844939999999996,23.775
XAI generation,300,4.832296666666666,4.686,8.3651,12.634889999999988,19.038
Room persistence,300,20.150063333333335,19.875999999999998,30.4402,41.168429999999965,47.962
Alert-policy evaluation,300,104.73097666666666,105.876,124.4931,131.05429999999998,179.816
Complete pipeline,300,139.25503999999998,141.179,163.5052,182.41213999999997,241.471
